RACE,CLASS,AGE,SEX,DEGREE,EDUC,MARITAL,ATTEND,INCOME16,SEI10,MADEG,PADEG,MAEDUC,PAEDUC,MASEI10,PASEI10,PRESTG10,PRES16,PRES12
1,2,36,2,1,12,5,0,16,53.2,1,1,12,12,44.5,20.5,49,DK,1
1,2,47,2,1,12,3,4,18,39.7,1,1,14,12,17.1,59.1,31,T,2
1,2,40,1,1,12,1,3,21,31,1,1,12,12,35.8,31,42,T,2
2,3,59,1,3,16,3,2,19,57.3,4,1,18,12,82.5,46.5,43,DK,1
1,2,36,2,1,14,3,1,20,20.9,1,0,12,11,38.8,13.6,35,T,1
1,2,35,2,1,13,5,0,11,51.8,1,1,12,12,20,32,39,DK,1
1,3,62,1,1,12,1,3,25,20.9,1,1,12,12,36.4,61.2,35,DK,1
1,2,33,2,4,20,1,4,24,80.9,1,1,11,12,19.6,56.9,61,DK,1
1,1,25,1,1,12,5,0,8,24.2,1,0,12,12,37.6,25.2,48,T,2
1,3,40,2,2,16,1,0,21,50,3,3,16,16,26.1,67.7,45,DK,1
1,3,51,1,3,17,1,4,21,42.2,1,1,12,12,39.7,84.3,40,DK,1
1,2,73,1,1,13,1,7,18,67.7,1,0,10,11,39.7,50,60,T,2
1,2,32,1,0,11,5,0,17,46,1,2,12,14,92.1,31,49,DK,1
1,2,30,2,3,17,1,4,17,41.1,1,1,12,12,12.6,57.8,53,DK,1
1,2,53,2,0,8,1,0,17,39.7,1,0,12,7,36.5,39.7,31,C,1
1,2,61,2,0,12,1,3,21,21.6,1,1,12,12,13.6,33.7,28,T,1
1,3,30,2,4,19,1,7,22,80.9,1,1,12,12,53.7,14.4,61,DK,1
1,2,29,1,1,12,3,0,15,18.6,1,1,14,12,26.1,65.3,37,T,2
1,2,57,2,1,12,3,2,17,24.2,0,1,8,12,24.2,32,48,C,2
1,2,65,1,1,12,1,8,11,20.7,0,0,8,8,15.8,39.9,24,T,2
1,2,40,2,2,15,1,1,25,59.8,1,1,12,12,15.8,46.5,45,T,2
1,2,68,2,4,17,5,7,14,59.1,1,1,12,12,38.8,59.8,38,T,2
1,2,60,1,1,10,1,7,10,39.7,1,1,12,16,13.2,89.9,31,T,2
2,3,77,2,0,9,2,5,9,38.1,0,0,0,5,12.6,39.9,39,C,1
1,3,54,1,1,13,1,2,24,65.3,1,1,12,11,62.9,32,60,T,2
1,3,56,1,3,17,1,0,23,57.4,1,1,12,12,32.6,20.7,50,T,2
1,3,36,2,4,20,1,0,21,84.5,2,3,14,16,50,67.7,74,C,1
1,2,38,2,3,16,1,4,20,50,4,1,16,16,36.5,39.7,45,C,1
1,3,57,2,3,16,2,5,22,14,3,3,16,16,43,39.7,21,DK,1
1,3,74,1,4,17,2,5,22,70.1,3,1,16,12,63.7,23.7,73,DK,2
1,3,76,1,4,20,1,1,25,77.4,1,1,12,12,65.3,62,72,C,1
1,2,65,2,4,18,2,0,17,80.9,1,1,12,12,38.3,13.6,61,C,1
1,3,54,2,4,18,1,0,22,88.3,1,4,12,14,38.8,82.5,59,C,1
1,1,68,2,1,14,3,0,8,46,1,1,14,12,13.2,14,49,T,3
1,3,72,1,1,16,1,1,19,62.7,1,1,12,14,69.3,68.6,47,T,2
