RACE,CLASS,AGE,SEX,DEGREE,EDUC,MARITAL,ATTEND,INCOME16,SEI10,MADEG,PADEG,MAEDUC,PAEDUC,MASEI10,PASEI10,PRESTG10,PRES16,PRES12
1,3,70,2,4,16,5,2,24,84.5,2,1,14,14,62.6,50,74,C,1
1,3,27,2,3,16,5,0,21,80.7,3,3,16,16,61.4,73.9,65,C,1
1,4,30,2,4,18,1,1,26,92.2,3,3,16,16,59.1,77.4,72,DK,2
1,4,61,1,1,16,1,2,26,77.4,0,0,9,9,12.6,25.2,72,DK,2
1,4,38,1,3,16,1,3,26,89.1,1,3,12,16,67.7,83.8,62,C,1
1,2,45,1,3,16,4,0,23,44.6,3,2,16,14,14,50.4,36,T,2
1,3,61,2,3,16,1,3,24,71.4,3,3,16,16,80.9,62.6,62,C,1
1,3,48,2,4,16,1,5,26,91.1,3,2,16,14,80.9,52,69,C,1
1,3,41,2,3,16,5,2,20,45.3,4,3,17,16,41.1,46.2,17,C,1
1,3,30,2,3,16,5,3,20,80.7,3,3,16,16,38.3,76.3,65,DK,2
1,3,28,1,4,18,5,2,10,80.2,4,4,20,18,85.8,68.6,53,C,1
1,3,34,1,0,0,1,1,25,70.5,3,3,12,12,84.5,26.8,48,C,1
1,1,89,1,1,12,5,7,15,69.3,1,1,12,12,43,25.1,53,T,2
1,3,69,1,4,19,1,5,23,79.3,1,0,12,8,39.7,15.8,63,C,1
1,3,34,1,3,16,5,3,15,43,3,4,16,16,69.3,77.4,38,C,1
1,2,53,1,1,13,1,2,21,28.4,1,0,14,8,67.7,28.4,38,T,2
1,3,39,2,1,10,3,0,13,24.2,1,1,12,12,20.8,31.6,48,C,1
1,4,32,1,3,16,1,1,26,77,1,1,14,14,38.8,77.4,57,C,1
1,2,49,2,3,16,3,1,19,62.9,1,1,12,12,58.4,57.8,54,DK,2
1,3,47,1,1,12,3,3,20,26.8,1,1,12,12,52,38.8,35,T,2
1,4,51,2,4,18,1,8,3,78.3,3,4,16,20,37.2,70.1,51,T,2
3,4,44,1,4,20,1,0,26,81.9,3,4,16,18,76.3,62,58,C,1
1,2,46,2,3,16,3,1,26,67.7,1,1,12,12,26.8,51.9,39,C,1
1,3,36,1,3,16,1,5,26,68.6,3,3,16,16,65.3,50,50,DK,3
1,3,59,2,3,16,1,3,26,39.7,1,1,12,12,21.8,25,31,T,2
3,2,48,2,1,12,1,2,19,15.8,1,0,12,3,13.2,67.7,26,C,1
1,3,33,2,3,16,5,1,26,80.9,3,1,16,12,80.9,32,61,C,1
2,2,65,1,3,19,4,0,19,73.5,4,1,18,12,79.9,60.5,58,C,1
1,2,64,2,1,12,1,7,21,46.2,0,1,11,12,60.1,65.1,33,T,2
1,4,76,2,3,16,1,8,26,56.8,1,0,12,8,71.8,28.5,44,C,1
3,2,48,2,2,14,1,0,25,24.2,0,2,3,14,26.8,48.8,48,T,1
